"Ilha_01"	"Ilha_02"	"Ilha_03"	"Ilha_04"
"95"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"96"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"97"	37.4769230769231	37.4383973288815	37.3617304492513	10000
"98"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"99"	15.8084168336673	15.8042042042042	15.7958041958042	10000
"100"	43.4693386773547	43.4346346346346	43.3654345654346	10000
"101"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"102"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"103"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"104"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"105"	43.4693386773547	43.4346346346346	43.3654345654346	43.3309381237525
"106"	23.6401337792642	23.6200333889816	23.5800332778702	10000
"107"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"108"	18.4192384769539	18.4096096096096	18.3904095904096	10000
"109"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"110"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"111"	20.8184368737475	20.8092092092092	20.7908091908092	20.7816367265469
"112"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"113"	30.4432865731463	30.4216216216216	30.3784215784216	30.3568862275449
"114"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"115"	37.4769230769231	37.4383973288815	37.3617304492513	10000
"116"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"117"	47.9692307692308	47.9178631051753	47.8156405990017	10000
"118"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"119"	21.9678929765886	21.9505843071786	21.9161397670549	10000
"120"	20.8184368737475	20.8092092092092	20.7908091908092	20.7816367265469
"121"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"122"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"123"	35.3458193979933	35.3061769616027	35.2272878535774	10000
"124"	43.4693386773547	43.4346346346346	43.3654345654346	43.3309381237525
"125"	26.8535117056856	26.8267111853088	26.773377703827		10000
"126"	25.8284569138277	25.8142142142142	25.7858141858142	25.7716566866267
"127"	20.8184368737475	20.8092092092092	20.7908091908092	10000
"128"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"129"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"130"	18.4192384769539	18.4096096096096	18.3904095904096	18.3808383233533
"131"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"132"	51.7725752508361	51.7195325542571	51.6139767054908	10000
"133"	29.1157190635451	29.0911519198664	29.0422628951747	10000
"134"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"135"	18.4923076923077	18.4794657762938	18.4539101497504	10000
"136"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"137"	25.8284569138277	25.8142142142142	25.7858141858142	25.7716566866267
"138"	37.4769230769231	37.4383973288815	37.3617304492513	10000
"139"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"140"	35.3458193979933	35.3061769616027	35.2272878535774	10000
"141"	18.8144288577154	18.8072072072072	18.7928071928072	18.785628742515
"142"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"143"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"144"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"145"	16.4923076923077	16.4794657762938	16.4539101497504	10000
"146"	13.4092184368737	13.4046046046046	13.3954045954046	10000
"147"	18.6234113712375	18.6116861435726	18.5883527454243	10000
"148"	18.8144288577154	18.8072072072072	18.7928071928072	10000
"149"	39.6080267558528	39.5706176961603	39.4961730449251	10000
"150"	26.9846153846154	26.9589315525876	26.9078202995008	10000
"151"	16.4923076923077	16.4794657762938	16.4539101497504	10000
